career_id,career_name,description,required_skills,education_required,average_salary,job_growth_rate,domain,job_role,challenges
11,Software Engineer,A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the co...,"Python, Docker, Kubernetes",PhD,140100.00,0.05,General,,
12,Data Scientist,Not Specified,"AWS, SQL, ETL, Oracle, Red Shift, Data exploration, Statistical modeling, Mathematical modeling, Econometric modeling, Network modeling, Social network modeling, Natural language processing, Machine learning, Algorithms, Genetic algorithms, Neural networks",Not Specified,140100.00,0.05,Not Specified,,
13,UX/UI Designer,"""Create intuitive and visually appealing user interfaces. Conduct user research and design user experiences for digital products.""",Figma,Adobe XD,0.00,0.00,General,,
14,Marketing Manager,"""Develop marketing strategies and campaigns. Analyze market trends and consumer behavior to drive business growth.""",Digital Marketing,SEO,0.00,0.00,General,,
15,Financial Analyst,Analyze financial data to help businesses make investment decisions.,"Financial Analysis, Data Analysis, Forecasting, Excel, Risk Management, Economics",B.Tech,140100.00,0.05,Finance,,
16,Project Manager,"""Lead cross-functional teams to deliver projects on time and within budget. Coordinate resources and manage stakeholder expectations.""",Leadership,Agile,0.00,0.00,General,,
17,DevOps Engineer,"""Bridge development and operations. Automate deployment processes and maintain cloud infrastructure.""","SQL, Git, Python, System Design, Problem Solving",Azure,0.00,0.00,General,,
18,Content Writer,"""Create engaging content for various platforms. Research topics and write articles",Blogs,"and marketing materials.""",0.00,0.00,General,,
19,HR Business Partner,Not Specified,"Workforce Planning, Organizational Design, Performance Management, Employee Relations, Compensation, Retention Strategies, Career Development, Leadership Development, Talent Management, Legal Knowledge in HR",Not Specified,140100.00,0.05,Not Specified,,
20,Cybersecurity Analyst,"""Protect organizational systems from cyber threats. Monitor networks and implement security measures.""","SQL, Statistics, Excel, Critical Thinking, Data Visualization",Firewalls,0.00,0.00,General,,
21, Collaborative Manipulation Roboticist,Not Specified...,"Collaborative Manipulation, Artificial Intelligence, Robot Operating System (ROS), Programming (Python, C++), Motion Planning, Inverse Kinematics, Task Planning under Uncertainty, Supervised Learning, Reinforcement/Demonstration Learning",Not Specified,140100.00,0.05,General,,
22,Software Engineer - Innovation Lab,Not Specified...,"Software Development, Infotainment Systems, Augmented Reality (AR), Heads-up Display (HUD), Haptic Devices, Platform Optimization, Cross-functional Collaboration, Proof of Concept (PoC), System Application Development, Linux/Android Development, Programming Languages: C, C++, Java, Python, Artificial Intelligence (AI), Prototype Development, Technical Requirement Analysis",Bachelor's in CS/Software Eng,130000.00,0.25,General,,
23,"Director, Standards & Strategy",Not Specified...,"Audio/video codec, Media streaming and storage formats, AR/VR, Machine learning, Artificial intelligence, Technical specifications authoring and reviewing",Bachelor's/Master's in Engineering,170000.00,0.08,General,,
